Subtitle Block,label,score
﻿1,neutral,0.9678841233253479
- Is this on?- That's fine.,neutral,0.4624794125556946
"I can break through walls,I just can't...",disapproval,0.6388929486274719
- That's fine.- I can't get this on.,neutral,0.49118852615356445
Mr. Incredible...Do you have a secret identity?,curiosity,0.699469268321991
Every superhero has a secret identity.I don't know a single one who doesn't.,neutral,0.7943246960639954
Who wants the pressureof being super all the time?,curiosity,0.5034307241439819
Of course I have a secret identity.,neutral,0.48622676730155945
Can you see me in thisat the supermarket? Come on.,curiosity,0.6296485662460327
"Who'd want to go shoppingas Elastigirl, know what I mean?",curiosity,0.5292369723320007
"Superladies, they're always tryingto tell you their secret identity.",neutral,0.870028555393219
Think it'll strengthenthe relationship or something.,neutral,0.9374436736106873
"I said, ""Girl, I don't want to knowabout your mild-mannered alter ego.""",neutral,0.7866852879524231
"I mean, you tell me you'rea super-mega-ultra-lightning-babe,",neutral,0.7955683469772339
that's all right with me.I'm good. I'm good.,admiration,0.7195823192596436
"No matter how many timesyou save the world,",neutral,0.4989086389541626
it always manages to get backin jeopardy again.,neutral,0.7842971682548523
"Sometimes I just want it to stay saved,you know?",neutral,0.605947732925415
"For a little bit. I feel like the maid.""I just cleaned up this mess.",neutral,0.4503278434276581
"""Can we keep it cleanfor ten minutes?""",neutral,0.6965759992599487
I could get to that point.,neutral,0.6443938612937927
"- ""Please?""- We're not finished.",neutral,0.9443896412849426
"Sometimes I think I'd just likethe simple life, you know?",confusion,0.5953026413917542
Relax a little and raise a family.,caring,0.7331119179725647
Settle down? Are you kidding?I'm at the top of my game!,neutral,0.23962439596652985
"I'm up there with the big dogs!Girls, come on.",neutral,0.8589505553245544
Leave the saving of the worldto the men? I don't think so.,confusion,0.7171940803527832
I don't think so.,disapproval,0.8843821883201599
Mr. Incredible.,admiration,0.5450201630592346
"- What is it, ma'am?- My cat, Squeaker, won't come down.",neutral,0.7563424706459045
Certainly. I suggest you stand clear.There could be trouble.,caring,0.5123212337493896
"No, he's quite tame.",approval,0.5835624933242798
Let go now.,neutral,0.9659147262573242
"Thank you, Mr. Incredible.You've done it again.",gratitude,0.9911141991615295
"- You're the best.- No, I'm just here to help.",admiration,0.7475749254226685
All units.We have a tour bus robbery...,neutral,0.7405403256416321
Tour bus robbery. I've still got time.,neutral,0.7968276739120483
Officers. Ma'am. Squeaker.,neutral,0.9620878100395203
- Cool! Ready for take-off!- What the...,excitement,0.5643062591552734
- Who are you supposed to be?- I'm IncrediBoy.,neutral,0.66185063123703
What? No.,neutral,0.4968145191669464
You're that kid from the fan club.,neutral,0.7948643565177917
Brophy. Brody.Buddy! Buddy!,neutral,0.9396021962165833
My name is IncrediBoy.,neutral,0.9561447501182556
"I've been nice, I've stood for photos,",admiration,0.5319027304649353
signed every scrap of paperyou pushed at me...,neutral,0.9512465596199036
"No, don't worry about training me.I know your moves,",caring,0.5618343949317932
"crime fighting style,favorite catch phrases, everything!",neutral,0.8669373393058777
I'm your number one fan!,love,0.5554491281509399
"Hey! Hey, wait!",neutral,0.6106491088867188
"You know,",neutral,0.9153191447257996
"you can tell a lot about a womanby the contents of her purse,",neutral,0.9430677890777588
but maybe that's notwhat you had in mind.,confusion,0.4964410066604614
"Hey, look...",neutral,0.7480671405792236
Elastigirl.,neutral,0.9687636494636536
Mr. Incredible.,admiration,0.5450201630592346
"- It's all right. I've got him.- Sure, you've got him.",approval,0.7814909219741821
"- I just took him out for you.- Sure, you did.",neutral,0.6266597509384155
- His attention was on me.- A fact I exploited to do my job.,neutral,0.9226775765419006
"- My job, you mean.- A simple thank you will suffice.",gratitude,0.9766796827316284
"Thanks, but I don't need any help.",gratitude,0.9735488295555115
"Whatever happened to ""ladies first""?",curiosity,0.613515317440033
"Well, whatever happenedto equal treatment?",curiosity,0.667454183101654
"Look, the lady got me first.",neutral,0.8380815386772156
"- Well, we could share, you know.- I work alone.",neutral,0.8595998287200928
"Well, I think you need to be more",neutral,0.6276995539665222
flexible.,neutral,0.9610506892204285
Are you doing anything later?,curiosity,0.5616562366485596
I have a previous engagement.,neutral,0.8166688084602356
"Now, you just stay here.",neutral,0.951439380645752
They usually pick upthe garbage in an hour.,neutral,0.9518765211105347
"- Hey, Incredible!- Hey, Frozone!",excitement,0.4008019268512726
