Subtitle Block,label,score
"""Once upon a timethere was a lovely princess.",admiration,0.5592648983001709
"""But she had an enchantmentupon her of a fearful sort,",neutral,0.825789213180542
"""which could only be brokenby love's first kiss.",neutral,0.8435234427452087
"""She was locked away in a castle",neutral,0.9183604121208191
"""guarded by a terriblefire-breathing dragon.",neutral,0.9393503665924072
"""Many brave knights had attemptedto free her from this dreadful prison,",neutral,0.5961870551109314
"""but none prevailed.",neutral,0.9526593685150146
"""She waited in the dragon's keep",neutral,0.9681273698806763
"""in the highest room of the tallest tower,",neutral,0.8911007046699524
"""for her true loveand true love's first kiss.""",neutral,0.7538207173347473
Like that's ever gonna happen.,optimism,0.6975690126419067
What a load of...,neutral,0.6195234656333923
-Go!-Go!,neutral,0.9597881436347961
-I think it's in there.-All right. Let's get it!,neutral,0.5708621740341187
Hold on. Do you knowwhat that thing can do to you?,curiosity,0.556765615940094
"Yeah, it'll grind your bones for its bread.",neutral,0.8858333826065063
"Yes, well, actually,that would be a giant.",approval,0.6363810300827026
"Now, ogres, they're much worse.",disgust,0.7283058762550354
They'll make a suitfrom your freshly peeled skin.,neutral,0.9677740931510925
-No!-They'll shave your liver.,neutral,0.7657132744789124
Squeeze the jelly from your eyes!,neutral,0.9407269358634949
"-Actually, it's quite good on toast.-Back! Back, beast!",neutral,0.6800809502601624
Back! I warn ya!,neutral,0.26584938168525696
Right.,approval,0.6949657797813416
This is the part where you run away.,neutral,0.8352576494216919
And stay out!,neutral,0.825853705406189
"""Wanted. Fairy tale creatures.""",neutral,0.7895427942276001
All right. This one's full. Take it away!,neutral,0.7604432702064514
-Move it along. Come on! Get up!-Next!,neutral,0.9641632437705994
Give me that! Your flying days are over.,neutral,0.3466576635837555
That's 20 pieces of silverfor the witch. Next!,neutral,0.9658511877059937
-Get up! Come on!-Twenty pieces.,neutral,0.9495917558670044
-Sit down there!-Keep quiet!,neutral,0.9642117023468018
This cage is too small.,neutral,0.5795450210571289
Please don't turn me in.I'll never be stubborn again.,disapproval,0.2897002696990967
I can change.Please! Give me another chance!,optimism,0.5344200134277344
-Shut up.-Next!,anger,0.7395821809768677
